isbn13,bookname,authors,publisher,class_no,class_nm
9788937847677,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,미래엔컬처그룹,400,자연과학 > 자연과학 > 자연과학
9788955820805,손톱 깨물기 ,글: 고대영 ;그림: 김영진,길벗어린이,813.6,문학 > 한국문학 > 소설
9788957363034,(만화로 보는)그리스 로마 신화,토머스 불핀치 지음;서영 그림,가나출판사,219,"종교 > 비교종교학 > 신화, 신화학"
9788950906078,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,711.4,"언어 > 한국어 > 음운, 음성, 문자"
9788950906610,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,711.4,"언어 > 한국어 > 음운, 음성, 문자"
9788954611800,1Q84 :무라카미 하루키 장편소설,지은이: 무라카미 하루키 ;옮긴이: 양윤옥,문학동네,833.6,문학 > 일본문학 > 소설
9788955856231,엽기 과학자 프래니,글·그림: 짐 벤튼;옮김: 박수현,언어세상,843,문학 > 영미문학 > 소설
9791162335123,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,833.6,문학 > 일본문학 > 소설
9788952227829,미 비포 유 ,조조 모예스 지음 ;김선형 옮김,살림,843.6,문학 > 영미문학 > 소설
9788937847707,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,400,자연과학 > 자연과학 > 자연과학
9788937847660,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,미래엔컬처그룹,400,자연과학 > 자연과학 > 자연과학
9788993964271,고구려 :김진명 역사소설,지은이: 김진명,새움출판사,813.62,문학 > 한국문학 > 소설
9788937842276,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,미래엔컬처그룹,400,자연과학 > 자연과학 > 자연과학
9788937847691,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,400,자연과학 > 자연과학 > 자연과학
9788932017150,달콤한 나의 도시:정이현 장편소설,지은이: 정이현,문학과지성사,813.6,문학 > 한국문학 > 소설
9788983920706,해리포터와 비밀의 방,조앤 K. 롤링 지음;김혜원 옮김,문학수첩,843,문학 > 영미문학 > 소설
9788987721217,(박완서 동화집)자전거 도둑,박완서 글;한병호 그림,다림,813.6,문학 > 한국문학 > 소설
9788983922557,해리포터와 죽음의 성물,조앤 K 롤링 지음 ;최인자 옮김,문학수첩,843,문학 > 영미문학 > 소설
9791196025847,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,911,역사 > 아시아(아세아) > 한국
9788949150567,마법의 시간여행,메리 폽 어즈번 지음 ;노은정 옮김,비룡소,843,문학 > 영미문학 > 소설
9788937847714,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,400,자연과학 > 자연과학 > 자연과학
9788937841668,내 동생 싸게 팔아요,글: 임정자;그림: 김영수,대한교과서,813.6,문학 > 한국문학 > 소설
9788956055466,책은 도끼다 :박웅현 인문학 강독회 ,지은이: 박웅현,북하우스,001.3,"총류 > 총류 > 지식, 학문 일반"
9788937847721,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,400,자연과학 > 자연과학 > 자연과학
9788983922588,해리포터와 죽음의 성물,조앤 K 롤링 지음 ;최인자 옮김,문학수첩,843,문학 > 영미문학 > 소설
9788989646488,엄마 까투리 ,권정생 글 ;김세현 그림,낮은산,813.6,문학 > 한국문학 > 소설
9788983920928,해리포터와 불의 잔,조앤 K. 롤링 지음;최인자 [공]옮김,문학수첩,843,문학 > 영미문학 > 소설
9788983921444,해리포터와 불사조 기사단,조앤 K. 롤링 저;최인자 옮김,문학수첩,843,문학 > 영미문학 > 소설
9788963710020,규장각 각신들의 나날 :정은궐 장편소설,지은이: 정은궐,파란미디어,813.6,문학 > 한국문학 > 소설
9788957363041,(만화로 보는)그리스 로마 신화,토머스 불핀치 지음;서영 그림,가나출판사,219,"종교 > 비교종교학 > 신화, 신화학"
9788966350278,바다 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,833.6,문학 > 일본문학 > 소설
9788954641630,쇼코의 미소 :최은영 소설 ,지은이: 최은영,문학동네,813.7,문학 > 한국문학 > 소설
9788983920737,해리포터와 아즈카반의 죄수,조앤 K. 롤링 지음;김혜원 옮김,문학수첩,843,문학 > 영미문학 > 소설
9788931001990,앵무새 죽이기 ,하퍼 리 지음 ;김욱동 옮김,문예출판사,843.5,문학 > 영미문학 > 소설
9788926390269,(코믹 메이플스토리) 수학도둑 :사고력과 이해력을 향상시켜 주는 국내 최초 수학논술만화,글: 송도수 ;서정 엔터테인먼트,서울문화사,410,자연과학 > 수학 > 수학
9788954613026,리딩으로 리드하라 =세상을 지배하는 0.1퍼센트의 인문고전 독서법 /Reading lead ,이지성 지음,문학동네,029.4,총류 > 문헌정보학 > 독서 및 정보매체의 이용
9788955856255,엽기 과학자 프래니,글·그림: 짐 벤튼;옮김: 박수현,언어세상,843,문학 > 영미문학 > 소설
9788932903507,개미 :베르나르 베르베르 장편소설,지은이: 베르나르 베르베르 ;옮긴이: 이세욱,열린책들,863,문학 > 프랑스문학 > 소설
9788955820461,지하철을 타고서,글: 고대영;그림:김영진,길벗어린이,813.6,문학 > 한국문학 > 소설
9788960865594,미생 :아직 살아 있지 못한 자,지은이: 윤태호,위즈덤하우스 미디어그룹,810,문학 > 한국문학 > 한국문학
9788955820683,용돈주세요,글: 고대영;그림: 김영진,길벗어린이,813.6,문학 > 한국문학 > 소설
9788950936358,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,711.4,"언어 > 한국어 > 음운, 음성, 문자"
9788926390276,(코믹 메이플스토리) 수학도둑 :사고력과 이해력을 향상시켜 주는 국내 최초 수학논술만화,글: 송도수 ;서정 엔터테인먼트,서울문화사,410,자연과학 > 수학 > 수학
9791162339466,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,833.6,문학 > 일본문학 > 소설
